timestamp,hook,category,surface_key,surface_label,action,status,value,message
2026-05-12T17:47:52,before_energy_idf_generation,designbuilder_api,global,global,detect,PASS,,DesignBuilder API is available.
2026-05-12T17:47:52,before_energy_idf_generation,surface_target,global,manifest/arguments,load_targets,PASS,APARTMENT_A_NEW_LOGIA_WALL_03;APARTMENT_A_NEW_PK_PB_WALL_09;APARTMENT_A_NEW_PK_PB_WALL_10;APARTMENT_A_NEW_PN_02_WALL_05;APARTMENT_A_NEW_WC_02_WALL_03;APARTMENT_A_NEW_WC_02_WALL_04,Targets are loaded from manifest plus --target-surface arguments.
2026-05-12T17:47:52,before_energy_idf_generation,surface_target,global,target_profiles,load_target_profiles,PASS,6,Profiles include target zone and calculated IDF surface area when available.
2026-05-12T17:47:52,before_energy_idf_generation,surface_scan,global,DesignBuilder surfaces,collect,PASS,45,Collected surfaces from active building/site hierarchy.
2026-05-12T17:47:52,before_energy_idf_generation,surface_match,surface_4,Surface,match,SKIP_DUPLICATE_MATCH,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,Target APARTMENT_A_NEW_PN_02_WALL_05 matched more than one DesignBuilder surface at same zone/area.
2026-05-12T17:47:52,before_energy_idf_generation,surface_match,surface_11,Surface,match,MATCH_TARGET,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXLOGI,Surface selected for UI Adjacency attempt. target=APARTMENT_A_NEW_LOGIA_WALL_03; reason=unique_zone_area; area=3.713
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_11,Surface,ReadState:before,READ_OK,AdjacencyCondition=NotAdjacentToGround; IsInternalPartition=False; InternalPartitionType=-1,HardAttributes=WallConstr;Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_11,Surface,SetAttribute:Adjacency,WRITE_OK,4-Adiabatic,Set Adjacency=4-Adiabatic.
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_11,Surface,Verify:Adjacency,VERIFIED,4-Adiabatic,Adjacency=4-Adiabatic
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_11,Surface,UpdateGeometry,PASS,,Method completed.
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_11,Surface,UpdateTileAttributes,PASS,,Method completed.
2026-05-12T17:47:52,before_energy_idf_generation,surface_match,surface_17,Surface,match,MATCH_TARGET,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPKXP,Surface selected for UI Adjacency attempt. target=APARTMENT_A_NEW_PK_PB_WALL_10; reason=unique_zone_area; area=17.144
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_17,Surface,ReadState:before,READ_OK,AdjacencyCondition=NotAdjacentToGround; IsInternalPartition=False; InternalPartitionType=-1,HardAttributes=WallConstr;Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_17,Surface,SetAttribute:Adjacency,WRITE_OK,4-Adiabatic,Set Adjacency=4-Adiabatic.
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_17,Surface,Verify:Adjacency,VERIFIED,4-Adiabatic,Adjacency=4-Adiabatic
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_17,Surface,UpdateGeometry,PASS,,Method completed.
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_17,Surface,UpdateTileAttributes,PASS,,Method completed.
2026-05-12T17:47:52,before_energy_idf_generation,surface_match,surface_24,Surface,match,MATCH_TARGET,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPKXP,Surface selected for UI Adjacency attempt. target=APARTMENT_A_NEW_PK_PB_WALL_09; reason=unique_zone_area; area=4.752
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_24,Surface,ReadState:before,READ_OK,AdjacencyCondition=NotAdjacentToGround; IsInternalPartition=False; InternalPartitionType=-1,HardAttributes=WallConstr;Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_24,Surface,SetAttribute:Adjacency,WRITE_OK,4-Adiabatic,Set Adjacency=4-Adiabatic.
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_24,Surface,Verify:Adjacency,VERIFIED,4-Adiabatic,Adjacency=4-Adiabatic
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_24,Surface,UpdateGeometry,PASS,,Method completed.
2026-05-12T17:47:52,before_energy_idf_generation,surface_adjacency_ui,surface_24,Surface,UpdateTileAttributes,PASS,,Method completed.
2026-05-12T17:47:53,before_energy_idf_generation,surface_match,surface_29,Surface,match,MATCH_TARGET,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXWCX0,Surface selected for UI Adjacency attempt. target=APARTMENT_A_NEW_WC_02_WALL_04; reason=unique_zone_area; area=6.666
2026-05-12T17:47:53,before_energy_idf_generation,surface_adjacency_ui,surface_29,Surface,ReadState:before,READ_OK,AdjacencyCondition=NotAdjacentToGround; IsInternalPartition=False; InternalPartitionType=-1,HardAttributes=WallConstr;Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270
2026-05-12T17:47:53,before_energy_idf_generation,surface_adjacency_ui,surface_29,Surface,SetAttribute:Adjacency,WRITE_OK,4-Adiabatic,Set Adjacency=4-Adiabatic.
2026-05-12T17:47:53,before_energy_idf_generation,surface_adjacency_ui,surface_29,Surface,Verify:Adjacency,VERIFIED,4-Adiabatic,Adjacency=4-Adiabatic
