timestamp,hook,category,surface_key,surface_label,action,status,value,message
2026-05-12T18:12:32,before_energy_idf_generation,designbuilder_api,global,global,detect,PASS,,DesignBuilder API is available.
2026-05-12T18:12:32,before_energy_idf_generation,surface_target,global,manifest/arguments,load_targets,PASS,APARTMENT_A_NEW_LOGIA_WALL_03;APARTMENT_A_NEW_PK_PB_WALL_09;APARTMENT_A_NEW_PK_PB_WALL_10;APARTMENT_A_NEW_PN_02_WALL_05;APARTMENT_A_NEW_WC_02_WALL_03;APARTMENT_A_NEW_WC_02_WALL_04,Targets are loaded from manifest plus --target-surface arguments.
2026-05-12T18:12:32,before_energy_idf_generation,surface_target,global,target_profiles,load_target_profiles,PASS,6,Profiles include target zone and calculated IDF surface area when available.
2026-05-12T18:12:32,before_energy_idf_generation,surface_scan,global,DesignBuilder surfaces,collect,PASS,45,Collected surfaces from active building/site hierarchy.
2026-05-12T18:12:32,before_energy_idf_generation,zone_context,global,APARTMENT_A_NEW_LOGIA,map_context_by_floor_area,PASS,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXLOGI,DesignBuilder context mapped to source zone by matching floor area.
2026-05-12T18:12:32,before_energy_idf_generation,zone_context,global,APARTMENT_A_NEW_PN_01,map_context_by_floor_area,PASS,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,DesignBuilder context mapped to source zone by matching floor area.
2026-05-12T18:12:32,before_energy_idf_generation,zone_context,global,APARTMENT_A_NEW_PN_02,map_context_by_floor_area,PASS,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0Q1,DesignBuilder context mapped to source zone by matching floor area.
2026-05-12T18:12:32,before_energy_idf_generation,zone_context,global,APARTMENT_A_NEW_WC_02,map_context_by_floor_area,PASS,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXWCX0,DesignBuilder context mapped to source zone by matching floor area.
2026-05-12T18:12:32,before_energy_idf_generation,zone_context,global,APARTMENT_A_NEW_WC_01,map_context_by_floor_area,PASS,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXWCX0Q1,DesignBuilder context mapped to source zone by matching floor area.
2026-05-12T18:12:32,before_energy_idf_generation,surface_match,surface_11,Surface,match,MATCH_TARGET,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXLOGI,Surface selected for UI Adjacency attempt. target=APARTMENT_A_NEW_LOGIA_WALL_03; reason=unique_zone_area; area=3.713
