surface_key,surface_label,context,is_candidate,matches_manifest_target,adjacency_condition,is_internal_partition,internal_partition_type,hard_attributes,match_keys
surface_1,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,no,no,AdjacentToGround,False,-1,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;CombinedGroundFloorConstr;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN
surface_2,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,no,no,NotAdjacentToGround,False,-1,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;CombinedFlatRoofConstr;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN
surface_3,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,NotAdjacentToGround,True,Solid,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN
surface_4,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,NotAdjacentToGround,False,-1,WallConstr;Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN
surface_5,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,NotAdjacentToGround,False,-1,WallConstr;Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN
surface_6,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,NotAdjacentToGround,True,Solid,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN
surface_7,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,NotAdjacentToGround,True,Solid,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN
surface_8,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0,yes,no,NotAdjacentToGround,True,Solid,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0;UNKNOWN;UNKNOWN
surface_9,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXLOGI,no,no,AdjacentToGround,False,-1,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;CombinedGroundFloorConstr;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXLOGI;UNKNOWN;UNKNOWN
surface_10,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXLOGI,no,no,NotAdjacentToGround,False,-1,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;CombinedFlatRoofConstr;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXLOGI;UNKNOWN;UNKNOWN
